Ano;Rol Declarante;Código VU establecimiento;nombre establecimiento;razon social;rubro retc;ciiu6;ciiu6_id;ciiu4;ciiu4_id;huso;utmn;utme;provincia;comuna ;region;cod_subdere;Entrada/Salida;Cantidad Toneladas; declaración_estimación ;Tratamiento;tratamiento id;valorizacion_eliminacion_recolección;Capitulo LER;Numero Capitulo LER;Subcapitulo LER;Numero Subcapitulo LER;ler;Numero LER;retc_code_trazabilidad;nombre trazabilidad;razon social trazabilidad;comuna trazabilidad;region trazabilidad
2.020;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;5741641;247909;Malleco;Curacautín;La Araucanía;9.203;2;36,125; declaración ;Pretratamiento de Vidrio;37;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;5.453.475;BODEGA DE ENVASES DE VIDRIO Y PLANTA DE RECICLADO DE VIDRIO;CRISTALERIAS TORO SPA;Maipú;Metropolitana de Santiago
2.020;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;5741641;247909;Malleco;Curacautín;La Araucanía;9.203;2;11,8; declaración ;Pretratamiento de Vidrio;37;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;5.470.713;COMERCIAL MORCAS LIMITADA;COMERCIAL MORCAS LIMITADA;Lautaro;La Araucanía
2.020;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;5741641;247909;Malleco;Curacautín;La Araucanía;9.203;2;5,479; declaración ;Pretratamiento de plásticos;45;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 39 | Plásticos;39;5.470.713;COMERCIAL MORCAS LIMITADA;COMERCIAL MORCAS LIMITADA;Lautaro;La Araucanía
2.020;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;5741641;247909;Malleco;Curacautín;La Araucanía;9.203;2;1,72; declaración ;Pretratamiento de aceites y grasas comestibles;40;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 25 | Aceites y grasas comestibles;25;5.466.728;SOCIEDAD GENERAL RENDERING CHILE SA;SOCIEDAD GENERAL RENDERING CHILE LIMITADA;Lampa;Metropolitana de Santiago
2.020;Generador Municipal;5466524;ILUSTRE MUNICIPALIDAD DE ROMERAL;I.MUNICIPALIDAD DE ROMERAL;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6129284;305896;Curicó;Romeral;Maule;7.306;2;4892,64; declaración ;Relleno sanitario;11;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;245.025;RELLENO SANITARIO PARQUE EL GUANACO;RELLENOS SANITARIOS DEL MAULE S A;Teno;Maule
2.020;Generador Municipal;5466524;ILUSTRE MUNICIPALIDAD DE ROMERAL;I.MUNICIPALIDAD DE ROMERAL;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6129284;305896;Curicó;Romeral;Maule;7.306;2;43,05; declaración ;Preparación para reutilización;7;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;5.453.475;BODEGA DE ENVASES DE VIDRIO Y PLANTA DE RECICLADO DE VIDRIO;CRISTALERIAS TORO SPA;Maipú;Metropolitana de Santiago
2.020;Generador Municipal;5466524;ILUSTRE MUNICIPALIDAD DE ROMERAL;I.MUNICIPALIDAD DE ROMERAL;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6129284;305896;Curicó;Romeral;Maule;7.306;2;14,508; declaración ;Pretratamiento de Vidrio;37;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;5.479.474;CENTRO DE RECICLAJE QUILVO LIMPIO;SOCIEDAD QUILVO LIMPIO SPA;Romeral;Maule
2.020;Generador Municipal;5466524;ILUSTRE MUNICIPALIDAD DE ROMERAL;I.MUNICIPALIDAD DE ROMERAL;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6129284;305896;Curicó;Romeral;Maule;7.306;2;7,19; declaración ;Pretratamiento de papel, cartón y productos de papel;36;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 01 | Papel y cartón;1;5.479.474;CENTRO DE RECICLAJE QUILVO LIMPIO;SOCIEDAD QUILVO LIMPIO SPA;Romeral;Maule
2.020;Generador Municipal;5466524;ILUSTRE MUNICIPALIDAD DE ROMERAL;I.MUNICIPALIDAD DE ROMERAL;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6129284;305896;Curicó;Romeral;Maule;7.306;2;5,336; declaración ;Pretratamiento de plásticos;45;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 39 | Plásticos;39;5.479.077;RECICLAJE CICLO VERDE LTDA;RECICLAJE CICLO VERDE LIMITADA;Curicó;Maule
2.020;Generador Municipal;5466524;ILUSTRE MUNICIPALIDAD DE ROMERAL;I.MUNICIPALIDAD DE ROMERAL;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6129284;305896;Curicó;Romeral;Maule;7.306;2;4,382; declaración ;Pretratamiento de plásticos;45;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 39 | Plásticos;39;5.479.474;CENTRO DE RECICLAJE QUILVO LIMPIO;SOCIEDAD QUILVO LIMPIO SPA;Romeral;Maule
2.020;Generador Municipal;5466524;ILUSTRE MUNICIPALIDAD DE ROMERAL;I.MUNICIPALIDAD DE ROMERAL;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6129284;305896;Curicó;Romeral;Maule;7.306;2;0,128; declaración ;Pretratamiento de Metales;44;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 40 | Metales;40;5.479.474;CENTRO DE RECICLAJE QUILVO LIMPIO;SOCIEDAD QUILVO LIMPIO SPA;Romeral;Maule
2.020;Generador Municipal;5465466;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;Otras actividades;Otras actividades de servicios personales n.c.p.;S960909;Otras actividades de servicios personales n.c.p.;S9609;19;6354721;264736;Valparaíso;Concón;Valparaíso;5.103;2;305,338; declaración ;Valorización;2;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;1.967;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Cerrillos;Metropolitana de Santiago
2.020;Generador Municipal;5465466;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;Otras actividades;Otras actividades de servicios personales n.c.p.;S960909;Otras actividades de servicios personales n.c.p.;S9609;19;6354721;264736;Valparaíso;Concón;Valparaíso;5.103;2;52,917; declaración ;Valorización;2;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;2.372;CRISTALERIAS DE CHILE  S A;CRISTALERIAS DE CHILE S A;Padre Hurtado;Metropolitana de Santiago
2.020;Generador Municipal;5465466;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;Otras actividades;Otras actividades de servicios personales n.c.p.;S960909;Otras actividades de servicios personales n.c.p.;S9609;19;6354721;264736;Valparaíso;Concón;Valparaíso;5.103;2;10,284; declaración ;Valorización;2;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 01 | Papel y cartón;1;5.461.854;SOREPA VIÑA DEL MAR;SOC RECUPERADORA DE PAPEL SPA;Viña del Mar;Valparaíso
2.020;Generador Municipal;5465466;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;Otras actividades;Otras actividades de servicios personales n.c.p.;S960909;Otras actividades de servicios personales n.c.p.;S9609;19;6354721;264736;Valparaíso;Concón;Valparaíso;5.103;2;1,63; declaración ;Valorización;2;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 39 | Plásticos;39;;Destinatario Final;RECICLAJES INTEGRALES RINOPLAST LIMITADA;Quilpué;Valparaíso
2.020;Generador Municipal;5465466;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;Otras actividades;Otras actividades de servicios personales n.c.p.;S960909;Otras actividades de servicios personales n.c.p.;S9609;19;6354721;264736;Valparaíso;Concón;Valparaíso;5.103;2;0,837; declaración ;Preparación para reutilización;7;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 99 | Otras fracciones no especificadas en otra categoría;99;;Destinatario Final;ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO CORPORACION DE DESARROLLO;Viña del Mar;Valparaíso
2.020;Generador Municipal;5465466;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;Otras actividades;Otras actividades de servicios personales n.c.p.;S960909;Otras actividades de servicios personales n.c.p.;S9609;19;6354721;264736;Valparaíso;Concón;Valparaíso;5.103;2;0,66; declaración ;Valorización;2;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 40 | Metales;40;;;;;
2.020;Generador Municipal;5465466;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;Otras actividades;Otras actividades de servicios personales n.c.p.;S960909;Otras actividades de servicios personales n.c.p.;S9609;19;6354721;264736;Valparaíso;Concón;Valparaíso;5.103;2;0,281; declaración ;Valorización;2;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 40 | Metales;40;;Destinatario Final;NORMA EVELYN TAPIA FARFAN;Viña del Mar;Valparaíso
2.020;Generador Municipal;5464300;ILUSTRE MUNICIPALIDAD DE PICA;ILUSTRE MUNICIPALIDAD DE PICA;Gestores de residuos;Tratamiento y eliminación de desechos no peligrosos;E382100;Tratamiento y eliminación de desechos no peligrosos;E3821;19;7734136;465698;Tamarugal;Pica;Tarapacá;1.405;2;4250,227; declaración ;Relleno sanitario;11;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;879.723;ILUSTRE MUNICIPALIDAD DE PICA;ILUSTRE MUNICIPALIDAD DE PICA;Pica;Tarapacá
2.020;Generador Municipal;5464295;PUNTO VERDE DE RESIDUOS ELECTRONICOS;I MUNICIPALIDAD DE PUERTO MONTT;Gestores de residuos;Tratamiento y eliminación de desechos no peligrosos;E382100;Tratamiento y eliminación de desechos no peligrosos;E3821;18;5407141;671925;Llanquihue;Puerto Montt;Los Lagos;10.101;2;102842; declaración ;Relleno sanitario;11;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5.465.162;RELLENO SANITARIO PROVINCIAL COMUNA DE PUERTO VARAS;I MUNICIPALIDAD DE PUERTO VARAS;Puerto Varas;Los Lagos
2.020;Generador Municipal;5464295;PUNTO VERDE DE RESIDUOS ELECTRONICOS;I MUNICIPALIDAD DE PUERTO MONTT;Gestores de residuos;Tratamiento y eliminación de desechos no peligrosos;E382100;Tratamiento y eliminación de desechos no peligrosos;E3821;18;5407141;671925;Llanquihue;Puerto Montt;Los Lagos;10.101;2;1,2; declaración ;Reciclaje de vidrio;19;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;1.967;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Cerrillos;Metropolitana de Santiago
2.020;Generador Municipal;5464295;PUNTO VERDE DE RESIDUOS ELECTRONICOS;I MUNICIPALIDAD DE PUERTO MONTT;Gestores de residuos;Tratamiento y eliminación de desechos no peligrosos;E382100;Tratamiento y eliminación de desechos no peligrosos;E3821;18;5407141;671925;Llanquihue;Puerto Montt;Los Lagos;10.101;2;0,813; declaración ;Pretratamiento de papel, cartón y productos de papel;36;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 01 | Papel y cartón;1;5.462.064;SOREPA PUERTO MONTT;SOC RECUPERADORA DE PAPEL SPA;Puerto Montt;Los Lagos
2.020;Generador Municipal;5463019;MUNICIPALIDAD DE PUENTE ALTO;I MUNICIPALIDAD DE PUENTE ALTO;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6281861;353437;Cordillera;Puente Alto;Metropolitana de Santiago;13.201;2;238540,59; declaración ;Relleno sanitario;11;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;7.803;RELLENO SANITARIO LOMA LOS COLORADOS;K D M  S A;Tiltil;Metropolitana de Santiago
2.020;Generador Municipal;5463019;MUNICIPALIDAD DE PUENTE ALTO;I MUNICIPALIDAD DE PUENTE ALTO;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6281861;353437;Cordillera;Puente Alto;Metropolitana de Santiago;13.201;2;46054,667; declaración ;Sitio de Escombros de la Construcción;60;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 07 | Residuos voluminosos (incluidos muebles);7;5.466.006;BALTIERRA SA;INMOBILIARIA,AGRICOLA Y COMERCIAL BALTIERRA SOCIEDAD ANONIMA;Puente Alto;Metropolitana de Santiago
2.020;Generador Municipal;5463019;MUNICIPALIDAD DE PUENTE ALTO;I MUNICIPALIDAD DE PUENTE ALTO;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6281861;353437;Cordillera;Puente Alto;Metropolitana de Santiago;13.201;2;8562,82; declaración ;Relleno sanitario;11;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 02 | Residuos de mercados;2;7.803;RELLENO SANITARIO LOMA LOS COLORADOS;K D M  S A;Tiltil;Metropolitana de Santiago
2.020;Generador Municipal;5463019;MUNICIPALIDAD DE PUENTE ALTO;I MUNICIPALIDAD DE PUENTE ALTO;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6281861;353437;Cordillera;Puente Alto;Metropolitana de Santiago;13.201;2;1668,47; declaración ;Pretratamiento de madera que no contiene sustancias peligrosas;43;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;02 | Residuos de parques y jardines (incluidos los residuos de cementerios);2;20 02 01 | Residuos biodegradables;1;5.461.523;RECUPAC SUCURSAL PINTANA;RECUPAC S.A.;La Pintana;Metropolitana de Santiago
2.020;Generador Municipal;5463019;MUNICIPALIDAD DE PUENTE ALTO;I MUNICIPALIDAD DE PUENTE ALTO;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6281861;353437;Cordillera;Puente Alto;Metropolitana de Santiago;13.201;2;582,75; declaración ;Reciclaje de vidrio;19;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;2.372;CRISTALERIAS DE CHILE  S A;CRISTALERIAS DE CHILE S A;Padre Hurtado;Metropolitana de Santiago
