Tipo o rol declarante;Nombre Establecimiento;Razón Social;ID Establecimiento VU;RUT Razón Social;Rubro RETC;CIIU6;CIIU4;Región;Provincia;Comuna;Huso;Coordenada Este;Coordenada Norte;Número Capítulo;Capítulo LER;Número Subcapítulo;Subcapítulo LER;Número LER;Nombre LER;Tratamiento;Valorización/Eliminación;Cantidad (Toneladas);Declaración/Estimación;Año;ID Establecimiento VU Destinatario;RUT Razón Social trazabilidad;Nombre Establecimiento Destinatario;Razón Social Destinatario;Comuna Destinatario;Región Destinatario
Municipio;ILUSTRE MUNICIPALIDAD DE HIJUELAS;ILUSTRE MUNICIPALIDAD DE HIJUELAS;3970391;69060500-7;Otras actividades;Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales;Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social;Valparaíso;Quillota;Hijuelas;19;299268;6369072;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Relleno sanitario;Eliminación;4686,79;Declaración;2019;;;;Empresa de Aseo Cordillera SPA;;
Municipio;I MUNICIPALIDAD DE CONCON;I MUNICIPALIDAD DE CONCON;5465466;73568600-3;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Valparaíso;Valparaíso;Concón;19;264736;6354721;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);99;Otras fracciones no especificadas en otra categoría;Preparación para reutilización;Valorización;2,3668;Declaración;2019;;;;NORMA EVELYN TAPIA FARFAN;;
Municipio;ILUSTRE MUNICIPALIDAD DE QUINCHAO;ILUSTRE MUNICIPALIDAD DE QUINCHAO;911614;69230900-6;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Los Lagos;Chiloé;Quinchao;18;629376;5289207;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;Papel y cartón;Reciclaje de papel, cartón y productos de papel;Valorización;3,79;Declaración;2019;;;;Lorena Lopez Schencke E.I.R.L.;;
Municipio;ILUSTRE MUNICIPALIDAD DE QUINCHAO;ILUSTRE MUNICIPALIDAD DE QUINCHAO;911614;69230900-6;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Los Lagos;Chiloé;Quinchao;18;629376;5289207;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);39;Plásticos;Reciclaje de plásticos;Valorización;5,05;Declaración;2019;;;;Lorena Lopez Schencke E.I.R.L.;;
Municipio;ILUSTRE MUNICIPALIDAD DE PALENA;I MUNICIPALIDAD DE PALENA;911616;69231300-3;Otras actividades;Otras actividades de servicios personales n.c.p.;Otras actividades de servicios personales n.c.p.;Los Lagos;Palena;Palena;19;274068;5166888;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Relleno sanitario;Eliminación;600;Declaración;2019;;;;ILUSTRE MUNICIPALIDAD DE PALENA;;
Municipio;ILUSTRE MUNICIPALIDAD DE MARCHIHUE;I MUNICIPALIDAD DE MARCHIGUE;3023305;69091300-3;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Libertador Gral. Bernardo O'Higgins;Cardenal Caro;Marchihue;19;259245;6190744;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Relleno sanitario;Eliminación;1486;Declaración;2019;;;;Municipalidad de Marchigue;;
Municipio;ILUSTRE MUNICIPALIDAD DE LA LIGUA;I MUNICIPALIDAD DE LA LIGUA;881994;69050100-7;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Valparaíso;Petorca;La Ligua;19;290221;6407507;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);2;Vidrio;Reciclaje de vidrio;Valorización;72;Declaración;2019;;;;Transcoll;;
Municipio;ILUSTRE MUNICIPALIDAD DE OSORNO;I MUNICIPALIDAD DE OSORNO;4587532;69210100-6;Otras actividades;Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales;Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social;Los Lagos;Osorno;Osorno;18;657789;5506805;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);2;Vidrio;Reciclaje de vidrio;Valorización;36,7;Declaración;2019;;;;RECICLAJE RAHUE;;
Municipio;ILUSTRE MUNICIPALIDAD DE OSORNO;I MUNICIPALIDAD DE OSORNO;4587532;69210100-6;Otras actividades;Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales;Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social;Los Lagos;Osorno;Osorno;18;657789;5506805;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);39;Plásticos;Reciclaje de plásticos;Valorización;3,2;Declaración;2019;;;;RECICLAJE RAHUE;;
Municipio;ILUSTRE MUNICIPALIDAD DE PIRQUE;I MUNICIPALIDAD DE PIRQUE;4053455;69072200-3;Otras actividades;Otras actividades de servicios personales n.c.p.;Otras actividades de servicios personales n.c.p.;Metropolitana de Santiago;Cordillera;Pirque;19;256811;6167669;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;99;Residuos municipales no especificados en otra categoría;Relleno sanitario;Eliminación;9485;Declaración;2019;;;;Consorcio Santa Marta S.A;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS VILOS;ILUSTRE MUNICIPALIDAD DE LOS VILOS;879731;69041500-3;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Coquimbo;Choapa;Los Vilos;19;262519;6466783;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Relleno sanitario;Eliminación;27000;Declaración;2019;;;;VERTEDERO MUNICIPALIDAD DE LOS VILOS;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;69160400-4;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Biobío;Arauco;Los Álamos;18;635696;5834554;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;850,88;Declaración;2019;;;;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;69160400-4;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Biobío;Arauco;Los Álamos;18;635696;5834554;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;772,2;Declaración;2019;;;;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;69160400-4;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Biobío;Arauco;Los Álamos;18;635696;5834554;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;783,07;Declaración;2019;;;;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;69160400-4;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Biobío;Arauco;Los Álamos;18;635696;5834554;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;710,53;Declaración;2019;;;;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;69160400-4;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Biobío;Arauco;Los Álamos;18;635696;5834554;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;758,9;Declaración;2019;;;;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;69160400-4;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Biobío;Arauco;Los Álamos;18;635696;5834554;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;742,9;Declaración;2019;;;;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;;
Municipio;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;ILUSTRE MUNICIPALIDAD DE LOS ÁLAMOS;5441557;69160400-4;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Biobío;Arauco;Los Álamos;18;635696;5834554;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;753,95;Declaración;2019;;;;JORGE HUGO JOSE ANTONIO ARNABOLDI CACERES;;
Municipio;ILUSTRE MUNICIPALIDAD DE SAN FELIPE;ILUSTRE MUNICIPALIDAD DE SAN FELIPE;4054472;69050600-9;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Valparaíso;San Felipe de Aconcagua;San Felipe;19;338334;6375096;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);39;Plásticos;Pretratamiento de plásticos;Valorización;13,389;Declaración;2019;;;;INGENIERIA Y DESARROLLO SUSTENTA LTDA.;;
Municipio;ILUSTRE MUNICIPALIDAD DE TREGUACO;I MUNICIPALIDAD DE TREHUACO;912284;69250600-6;;;;Ñuble;Itata;Treguaco;18;709219;5965801;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;Papel y cartón;Relleno sanitario;Eliminación;7378,83;Declaración;2019;;;;Ecobio S.A;;
Municipio;ILUSTRE MUNICIPALIDAD DE PUQUELDÓN;I MUNICIPALIDAD DE PUQUELDON;911613;69230800-K;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Los Lagos;Chiloé;Puqueldón;18;615117;5280847;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;2646;Declaración;2019;;;;municipalidad puqueldon;;
Municipio;ILUSTRE MUNICIPALIDAD DE FREIRE;I MUNICIPALIDAD DE FREIRE;1965237;69190900-K;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Araucanía;Cautín;Freire;18;705605;5685922;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Relleno sanitario;Eliminación;5081;Declaración;2019;;;;Municipalidad de Freire;;
Municipio;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;431261;69255500-7;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Metropolitana de Santiago;Santiago;Independencia;19;346178;6300803;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);2;Vidrio;Reciclaje de vidrio;Valorización;98,31;Declaración;2019;2372;90331000-6;CRISTALERIAS DE CHILE  S A;CRISTALERIAS DE CHILE S A | CRISTALERIAS DE CHILE  S A;Padre Hurtado;Metropolitana de Santiago
Municipio;MUNICIPALIDAD DE TIERRA AMARILLA;I MUNICIPALIDAD DE TIERRA AMARILLA;5464811;69030400-7;Otras actividades;Actividades de mantenimiento del orden público y de seguridad;Actividades de mantenimiento del orden público y de seguridad;Atacama;Copiapó;Tierra Amarilla;19;374894;6959564;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);99;Otras fracciones no especificadas en otra categoría;Relleno sanitario;Eliminación;4094,06;Declaración;2019;5458426;96827370-1;BASE COPIAPO;COSEMAR S A | BASE COPIAPO;Copiapó;Atacama
Municipio;ILUSTRE MUNICIPALIDAD DE RENCA;ILUSTRE MUNICIPALIDAD DE RENCA;4053447;69071200-8;Otras actividades;Otras actividades de servicios personales n.c.p.;Otras actividades de servicios personales n.c.p.;Metropolitana de Santiago;Santiago;Renca;19;341643;6302487;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);39;Plásticos;Pretratamiento de plásticos;Valorización;17,49;Declaración;2019;5467286;76190988-6;RECICLADOS INDUSTRIALES S A PLANTA RENCA;RECICLADOS INDUSTRIALES S.A | RECICLADOS INDUSTRIALES S A PLANTA RENCA;Renca;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE SALAMANCA;I MUNICIPALIDAD DE SALAMANCA;879730;69041400-7;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Coquimbo;Choapa;Salamanca;19;314348;6481999;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;16592,72;Declaración;2019;5461047;69041400-7;VERTEDERO MUNICIPAL EL QUEÑE;I MUNICIPALIDAD DE SALAMANCA | VERTEDERO MUNICIPAL EL QUEÑE;Salamanca;Coquimbo
Municipio;ILUSTRE MUNICIPALIDAD DE CHILLÁN;I MUNICIPALIDAD DE CHILLAN;4587735;69140900-7;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Ñuble;Diguillín;Chillán;18;759040;5944934;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Relleno sanitario;Eliminación;72409,19;Declaración;2019;244575;77295110-8;ECOBIO;ECOBIO SA | ECOBIO;Chillán Viejo;Ñuble
Municipio;ILUSTRE MUNICIPALIDAD DE PELLUHUE;I MUNICIPALIDAD DE PELLUHUE;4085541;69252700-3;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Maule;Cauquenes;Pelluhue;18;719092;6033951;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;99;Residuos municipales no especificados en otra categoría;Relleno sanitario;Eliminación;4391;Declaración;2019;6054;99537670-9;RELLENO SANITARIO DEL MAULE S.A.;RELLENOS SANITARIOS DEL MAULE S A | RELLENO SANITARIO DEL MAULE S.A.;Talca;Maule
Municipio;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;ILUSTRE MUNICIPALIDAD DE INDEPENDENCIA;431261;69255500-7;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Metropolitana de Santiago;Santiago;Independencia;19;346178;6300803;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;Papel y cartón;Pretratamiento de Papel y Cartón;Valorización;1,93;Declaración;2019;5459117;86359300-K;SOREPA;SOC RECUPERADORA DE PAPEL SPA | SOREPA;San Joaquín;Metropolitana de Santiago
Municipio;MUNICIPALIDAD DE PUENTE ALTO;I MUNICIPALIDAD DE PUENTE ALTO;5463019;69072100-7;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Metropolitana de Santiago;Cordillera;Puente Alto;19;353437;6281861;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;Papel y cartón;Reciclaje;Valorización;287,3;Declaración;2019;5462818;96562060-5;RECUPAC SUCURSAL LA SERENA;RECUPAC S A | RECUPAC SUCURSAL LA SERENA;La Serena;Coquimbo
Municipio;ILUSTRE MUNICIPALIDAD DE CERRO NAVIA;ILUSTRE MUNICIPALIDAD DE CERRO NAVIA;8819;69254200-2;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Metropolitana de Santiago;Santiago;Cerro Navia;19;339287;6299155;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;2;Residuos de mercados;Relleno sanitario;Eliminación;3022;Declaración;2019;7803;96754450-7;RELLENO SANITARIO LOMA LOS COLORADOS;K D M  S A | RELLENO SANITARIO LOMA LOS COLORADOS;Tiltil;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE YERBAS BUENAS;ILUSTRE MUNICIPALIDAD DE YERBAS BUENAS;3023087;69130400-0;;;;Maule;Linares;Yerbas Buenas;19;266376;6040692;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Vertedero;Eliminación;3383,67;Declaración;2019;5464026;78398090-8;RELLENO SANITARIO SAN ROQUE;SOCIEDAD ARQUITECTURA Y PAISAJISMO RIO MAULE LTDA | RELLENO SANITARIO SAN ROQUE;San Clemente;Maule
Municipio;ILUSTRE MUNICIPALIDAD DE LO BARNECHEA;I MUNICIPALIDAD LO BARNECHEA;8825;69255200-8;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Metropolitana de Santiago;Santiago;Lo Barnechea;19;361038;6307360;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;1;Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);39;Plásticos;Pretratamiento de plásticos;Valorización;33,027;Declaración;2019;5461522;96588400-9;RECUPAC SUCURSAL CERRILLOS;RECUPAC S A | RECUPAC SUCURSAL CERRILLOS;Cerrillos;Metropolitana de Santiago
Municipio;ILUSTRE MUNICIPALIDAD DE DOÑIHUE;ILUSTRE MUNICIPALIDAD DE DOÑIHUE;4054482;69080600-2;Otras actividades;Actividades de la administración pública en general;Actividades de la administración pública en general;Libertador Gral. Bernardo O'Higgins;Cachapoal;Doñihue;19;338500;6217494;20;Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;3;Otros residuos municipales;1;Mezclas de residuos municipales;Relleno sanitario;Eliminación;7360,53;Declaración;2019;5457604;69080100-0;RELLENO SANITARIO COLIHUES LA YESCA;I MUNICIPALIDAD DE RANCAGUA | RELLENO SANITARIO COLIHUES LA YESCA;Requínoa;Libertador Gral. Bernardo O'Higgins
